song_title,artist,release,track_uri,spotify_id,duration,explicit,popularity,is_popular,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
WE,Leo Ieiri,7/6/2016,6woHdm2NKm0RHbuO7qt4ww,6woHdm2NKm0RHbuO7qt4ww,258680,FALSE,58,0,album,0.51,0.615,1,-4.207,1,0.0283,0.31,0,0.117,0.463,169.814,4
Blue Moon,NiziU,11/20/2022,6VfMXMW0vm2vKMKzZJXEmN,6VfMXMW0vm2vKMKzZJXEmN,244110,FALSE,58,0,single,0.645,0.76,9,-3.378,1,0.0368,0.596,0,0.166,0.434,90,4
Delight,miwa,5/22/2013,6Ko5MADnkgh7GZJfieBnln,6Ko5MADnkgh7GZJfieBnln,292306,FALSE,59,0,album,0.565,0.902,7,-2.556,1,0.0316,0.325,2.94E-05,0.505,0.372,132.018,4
I LOVE...,OFFICIAL HIGE DANDISM,2/12/2020,6Yrkz3dWqy933CQWQc4Yah,6Yrkz3dWqy933CQWQc4Yah,282026,FALSE,58,0,single,0.54,0.706,9,-5.235,1,0.0543,0.0171,0,0.225,0.385,172.021,4
コントラスト(Special Edition),Uru,1/30/2023,2bVNCp7NZEO5wnRJnNKjff,2bVNCp7NZEO5wnRJnNKjff,286146,FALSE,58,0,album,0.583,0.573,9,-4.382,1,0.03,0.633,0,0.0907,0.443,137.753,4
おいしいパスタがあると聞いて,Aimyon,9/9/2020,6pHcxtpwNOIATrwHCL5WNw,6pHcxtpwNOIATrwHCL5WNw,304933,FALSE,57,1,album,0.575,0.716,7,-1.97,1,0.033,0.184,0,0.31,0.635,107.984,4
吹き零れる程のI、哀、愛,Creep Hyp,7/24/2013,3yJBEaVWZ5HmUp8nGtHbWt,3yJBEaVWZ5HmUp8nGtHbWt,250911,FALSE,57,1,album,0.582,0.829,7,-3.713,1,0.0284,0.00167,0,0.0963,0.835,109.99,4
Luxury Disease,ONE OK ROCK,9/9/2022,6PM8wi7Z9LnM426pJT47kY,6PM8wi7Z9LnM426pJT47kY,180211,FALSE,57,1,album,0.547,0.827,5,-3.794,1,0.0487,0.0102,0,0.0905,0.717,96.101,4
ここにはないもの (Special Edition),Nogizaka46,12/7/2022,1lZyM0j1iFa4vB9xSkpjur,1lZyM0j1iFa4vB9xSkpjur,311360,FALSE,57,1,album,0.619,0.88,11,-3.704,1,0.036,0.331,0,0.27,0.52,119.998,4
瞳へ落ちるよレコード,Aimyon,8/17/2022,2qJknEIv5MCKjHG6LNLZvj,2qJknEIv5MCKjHG6LNLZvj,239333,FALSE,57,1,album,0.608,0.819,6,-4.044,1,0.0301,0.0175,0.000184,0.312,0.659,105.026,4
かつて天才だった俺たちへ,Creepy Nuts,8/26/2020,4qjpey2aljl28C40NmTcgQ,4qjpey2aljl28C40NmTcgQ,214080,FALSE,58,0,album,0.789,0.893,9,-1.74,0,0.0446,0.0567,0,0.0766,0.732,105.005,4
SHAKE IT PARADISE,Toshinobu Kubota,9/10/1986,3qjHbrnu71IJ04InWjmjvJ,3qjHbrnu71IJ04InWjmjvJ,262760,FALSE,58,0,album,0.516,0.212,7,-15.327,1,0.0301,0.506,0,0.257,0.043,136.279,4
多面態,Tani Yuuki,3/29/2023,7BukPy8McZBtInTnLFjKe8,7BukPy8McZBtInTnLFjKe8,229978,FALSE,57,1,album,0.761,0.689,2,-5.097,1,0.0447,0.105,0,0.277,0.577,98.027,4
4 FORCE,Every Little Thing,3/22/2001,0mRm9OJxlTf7XNd1uT6BR5,0mRm9OJxlTf7XNd1uT6BR5,289666,FALSE,57,1,album,0.461,0.611,5,-6.167,1,0.0291,0.395,0,0.338,0.196,84.215,4
LOVE+PEACE,HIRAIDAI,5/7/2023,6ukg2JG0EUiX3yxv8rlyCG,6ukg2JG0EUiX3yxv8rlyCG,262505,FALSE,57,1,album,0.408,0.676,3,-4.883,1,0.0348,0.234,0,0.127,0.424,145.824,4
イージーゲーム,natsumi,5/10/2021,096qZRdXPOyvb5OP8NI7pw,096qZRdXPOyvb5OP8NI7pw,183929,FALSE,58,0,single,0.605,0.909,1,-2.483,0,0.13,0.227,0,0.0497,0.901,165.953,4
HORIZON,Remioromen,5/17/2006,1Vimcaq6kgTq6xgHSnr4pS,1Vimcaq6kgTq6xgHSnr4pS,325773,FALSE,59,0,album,0.482,0.702,7,-4.761,1,0.0256,0.246,3.31E-05,0.233,0.232,82.031,4
花火,aiko,8/4/1999,6nTtJld6EMw4MNoz21uUwF,6nTtJld6EMw4MNoz21uUwF,280066,FALSE,57,1,single,0.626,0.895,5,-4.141,1,0.0346,0.0786,0,0.0354,0.885,96.027,4
本当なんてぶっ飛ばしてよ,Creep Hyp,12/14/2022,7wHtfzKFqvr6fUkKzhMr1c,7wHtfzKFqvr6fUkKzhMr1c,196000,FALSE,57,1,single,0.679,0.823,8,-3.595,1,0.062,0.145,0,0.0961,0.929,110.01,4
異世界混合大舞踏会 (feat. おばけ),Gen Hoshino,7/18/2022,2YaWdN5tieE4Ntorawbbvq,2YaWdN5tieE4Ntorawbbvq,225533,FALSE,57,1,single,0.829,0.751,11,-4.937,0,0.0645,0.0142,0.014,0.0414,0.96,129.993,4
Memories,Tani Yuuki,12/8/2021,3YGkEsa1tSsWBVFEvwA42y,3YGkEsa1tSsWBVFEvwA42y,254084,FALSE,57,1,album,0.69,0.446,0,-8.196,1,0.0306,0.687,1.30E-05,0.164,0.595,144.004,4
白日,King Gnu,2/22/2019,5iF0Yf9gju6ERpAch08JsC,5iF0Yf9gju6ERpAch08JsC,274912,FALSE,58,0,single,0.606,0.902,1,-2.555,1,0.109,0.672,0,0.289,0.758,93.002,4
狂言,Ado,1/26/2022,5dwkmgutIFdurpXlzEyCtB,5dwkmgutIFdurpXlzEyCtB,269893,FALSE,57,1,album,0.573,0.884,0,-3.873,1,0.113,0.05,0,0.289,0.595,152,4
劣等感,Sharam Q,1994,7M3oRWV8h3ssMjNP24jJCF,7M3oRWV8h3ssMjNP24jJCF,324466,FALSE,58,0,album,0.596,0.499,1,-7.278,1,0.0221,0.594,1.22E-06,0.343,0.285,82.426,4
君の名は。,RADWIMPS,8/24/2016,23eTkfMmq1LvqiDzeNHdVe,23eTkfMmq1LvqiDzeNHdVe,284240,FALSE,57,1,album,0.325,0.906,11,-3.979,1,0.137,0.00047,0,0.0912,0.585,189.878,4
Cantabile,Novelbright,4/12/2023,4Y5avL0StifbsLNUtzWH58,4Y5avL0StifbsLNUtzWH58,226640,FALSE,59,0,single,0.592,0.806,6,-3.27,1,0.0333,0.125,0,0.269,0.614,129.932,4
LOVE COOK,Ai Otsuka,12/14/2005,3zfyzbHuqcT2AAffAyLm02,3zfyzbHuqcT2AAffAyLm02,307833,FALSE,59,0,album,0.375,0.576,2,-5.741,0,0.0364,0.267,3.38E-05,0.101,0.503,197.899,4
HOPE,Shota Shimizu,7/21/2021,3JzAKk0CpUlgzS1mPqzBwk,3JzAKk0CpUlgzS1mPqzBwk,267586,FALSE,58,0,album,0.656,0.582,0,-5.85,1,0.0329,0.189,0,0.243,0.401,85.004,4
"Stand by me, Stand by you.",HIRAIDAI,9/9/2020,2RbVD1IgXtyQFlLtbthaZ3,2RbVD1IgXtyQFlLtbthaZ3,193012,FALSE,58,0,single,0.594,0.568,3,-5.423,1,0.0383,0.0892,0,0.0535,0.58,161.887,4
ファンファーレ / 春夏秋冬,sumika,8/29/2018,08sjU4Uck88xYCQA3ncPS5,08sjU4Uck88xYCQA3ncPS5,187480,FALSE,57,1,single,0.629,0.945,3,-2.354,1,0.0487,0.0282,0,0.252,0.715,109.092,4
U -Special Edition-,NiziU,11/24/2021,3sFJmcdXoJ1G2rRW1Hc2x1,3sFJmcdXoJ1G2rRW1Hc2x1,186226,FALSE,58,0,album,0.776,0.887,7,-3.749,1,0.121,0.0411,3.70E-05,0.106,0.824,160.092,4
